"","ID","lat","lon","rate","plate","source"
"1","af",59.16,-73.174,0.9695,"Africa","DeMets++1990"
"2","an",64.315,-83.984,0.9093,"Antarctica","DeMets++1990"
"3","ar",59.658,-33.193,1.1616,"Arabia","DeMets++1990"
"4","au",60.08,1.742,1.1236,"Australia","DeMets++1990"
"5","ca",54.195,-80.802,0.8534,"Caribbean","DeMets++1990"
"6","co",36.823,-108.629,2.089,"Cocos","DeMets++1990"
"7","eu",61.066,-85.819,0.8985,"Eurasia","DeMets++1990"
"8","in",60.494,-30.403,1.1539,"India","DeMets++1990"
"9","nz",55.578,-90.096,1.4222,"Nazca","DeMets++1990"
"10","na",48.709,-78.167,0.7829,"North America","DeMets++1990"
"11","sa",54.999,-85.752,0.6657,"South America","DeMets++1990"
"12","jf",35,26,0.53,"Juan de Fuca","Wilson1988"
"13","ph",0,-47,1,"Philippine","Seno++1987"
"14","pa",0,0,0,"Pacific","DeMets++1990"
